Company,Industry,Sub Industry,Studio Type,Website,City,Country,Email,Mobile App Status,Booking Platform Used,Business Pain,Recommended Solution,Campaign,Date Added,Email Sent Date,Follow Up Date,Follow Up 2 Date,Follow Up 3 Date,Follow Up 4 Date,Response Date,Meeting Date,Proposal Date,Won Date,Lost Date,Stage,Deal Value
Hive + Honey,Fitness & Wellness,Pilates + Retail,Pilates Reformer studio + wellness shop,hiveandhoneyatx.com,Austin,United States,info@hiveandhoneyatx.com,No branded app,Own site,Multi-location + retail shop with no unified app or analytics,Mobile App + E-commerce + Data Analytics dashboard,Cold Email V1,2026-07-01,2026-07-02,2026-07-06,,,,2026-07-08,2026-07-12,2026-07-20,,,Proposal Sent,18000
Austin Simply Fit,Fitness & Wellness,Personal training studio,Personal training studio,austinsimplyfit.com,Austin,United States,,No branded app,Manual scheduling,No client app or CRM; manual scheduling across two sites,Mobile App + CRM / Workflow Automation,Cold Email V1,2026-07-03,2026-07-04,,,,,,,,,,Contacted,0
Eden Dental Clinic,Healthcare,Independent dental practice,Independent dental practice,edendentalclinic.co.uk,Inverness,United Kingdom,edendentalclinicinverness@yahoo.com,No app,Own site,No patient portal/app; strong SEO competition from corporate chains,SEO/SEA + Website + Patient-portal automation,Founder Direct Outreach,2026-07-05,2026-07-06,2026-07-10,,,,2026-07-11,,,,,Responded,0
Urban Lagree,Fitness & Wellness,Lagree / Megaformer studio,Boutique studio,urbanlagree.com,Austin,United States,,No branded app (3rd-party booking),MindBody,"Established boutique on generic booking software, no retention tooling",Mobile App + AI booking/retention automation,Cold Email V1,2026-07-08,,,,,,,,,,,New Lead,0
BASE Studio,Fitness & Wellness,Pilates / HIIT / yoga studio,Class-based studio,baseatx.com,Austin,United States,team@baseatx.com,No branded app,3rd-party scheduling,Relies on 3rd-party scheduling; thin SEO; no owned app,Mobile App + SEO,Cold Email V1,2026-07-09,2026-07-10,,,,,,,,,,Contacted,0
Senso Studio,Fitness & Wellness,Classical Pilates & posture school,Pilates studio,senso-studio.de,Berlin,Germany,carolyne.ergin@senso-studio.de,No branded app,Eversports,"Dependent on Eversports; no member portal, loyalty or push notifications",Custom iOS/Android app + membership system + analytics,LinkedIn + Email Combo,2026-06-15,2026-06-16,2026-06-20,,,,2026-06-22,2026-06-25,2026-07-02,2026-07-15,,Won,22000
Zeli Boutique Studio,Fitness & Wellness,Boutique Reformer Pilates,Boutique studio,zeli-studio.com,Berlin,Germany,hello@zeli-studio.com,No branded app,Acuity Scheduling,Relies on Acuity; no retention/loyalty features or push engagement,White-label/custom fitness app + booking integration,LinkedIn + Email Combo,2026-06-18,2026-06-19,2026-06-23,,,,2026-06-25,2026-06-28,,,2026-07-10,Lost,0
Pilates Movement Berlin,Fitness & Wellness,"Pilates (mat & equipment), multi-location",Multi-location studio,pilatesmovement.com,Berlin,Germany,ipolletvillard@puthod.com,No branded app,,Multi-location with no unified branded app or cross-site analytics,Custom app + analytics dashboard + booking/membership,LinkedIn + Email Combo,2026-06-20,2026-06-21,2026-06-25,,,,2026-06-27,,,,,Meeting Scheduled,0
Pilatesengel,Fitness & Wellness,Classical Pilates (mat & equipment),Pilates studio,pilatesengel.de,Berlin,Germany,info@pilatesengel.de,No branded app,Eversports + Urban Sports Club,Split across Eversports & USC; no branded app or push notifications,Custom iOS/Android app + membership system,Founder Direct Outreach,2026-06-22,2026-06-23,,,,,,,,,,Contacted,0
Classical Pilates Berlin,Fitness & Wellness,Classical Pilates (Reformer & Mat),Pilates studio,classicalpilatesberlin.com,Berlin,Germany,hi@classicalpilatesberlin.com,No branded app,Eversports,Dependent on Eversports; no loyalty or workout tracking,Custom app + booking/membership system,Founder Direct Outreach,2026-06-25,,,,,,,,,,,New Lead,0
Park Studio Berlin,Fitness & Wellness,Pilates + Yoga + Dance,Multi-discipline studio,parkstudioberlin.com,Berlin,Germany,parkstudioberlin@gmail.com,No branded app,Eversports + USC + ClassPass,Spread across 3 third-party platforms; no owned app or retention tooling,Custom app + analytics + booking consolidation,LinkedIn + Email Combo,2026-07-10,2026-07-11,2026-07-15,,,,2026-07-17,2026-07-20,2026-07-26,,,Won,15000
PILATES4all,Fitness & Wellness,Reformer Pilates (fitness-style),Pilates studio,pilates4all.de,Berlin,Germany,info@pilates4all.de,No branded app,Urban Sports Club + ClassPass,Reliant on USC/ClassPass; no member portal or push notifications,Custom iOS/Android app + membership system,Cold Email V1,2026-07-12,2026-07-13,2026-07-17,,,,,,,,,Contacted,0
